Altium Designer Pick and Place Locations
C:\Users\Furkan\Desktop\Designs\Udemy_Project\Project Outputs for Udemy_Project\Pick Place for Udemy_Project.csv

========================================================================================================================
File Design Information:

Date:       16.05.25
Time:       12:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R18","RC0603FR-07100RL","TopLayer","RES_0603","2248.032","1559.055","90","RES 100 OHM 1% 0603 SMD"
"R17","RC0603FR-07100RL","TopLayer","RES_0603","2295.276","1559.051","90","RES 100 OHM 1% 0603 SMD"
"R16","RC0603FR-07100RL","TopLayer","RES_0603","578.740","1437.020","270","RES 100 OHM 1% 0603 SMD"
"R15","RC0603FR-07100RL","TopLayer","RES_0603","2641.736","1807.087","0","RES 100 OHM 1% 0603 SMD"
"R14","RC0603FR-07100RL","TopLayer","RES_0603","2303.141","2120.079","0","RES 100 OHM 1% 0603 SMD"
"R13","RC0603FR-07100RL","TopLayer","RES_0603","1931.094","1622.047","0","RES 100 OHM 1% 0603 SMD"
"R12","RC0603FR-07100RL","TopLayer","RES_0603","2389.764","1559.051","270","RES 100 OHM 1% 0603 SMD"
"R11","RC0603JR-0715RL","TopLayer","RES_0603","2681.102","1940.945","0","RES 15 OHM 5% 0603 SMD"
"R10","RC0603JR-074K7L","TopLayer","RES_0603","2157.480","1086.614","90","RES 4.7K OHM 5% 0603 SMD"
"R9","RC0603JR-074K7L","TopLayer","RES_0603","2157.480","933.067","270","RES 4.7K OHM 5% 0603 SMD"
"R8","RC0603JR-0715RL","TopLayer","RES_0603","2681.106","1889.764","0","RES 15 OHM 5% 0603 SMD"
"R7","RC0603FR-07100RL","TopLayer","RES_0603","700.787","354.331","180","RES 100 OHM 1% 0603 SMD"
"R6","RC0603FR-071KL","TopLayer","RES_0603","490.158","395.665","90","RES 1K OHM 1% 0603 SMD"
"R5","RC0603FR-071KL","TopLayer","RES_0603","2399.606","2909.449","90","RES 1K OHM 1% 0603 SMD"
"R4","RC0603FR-0710KL","TopLayer","RES_0603","2490.162","2877.953","180","RES 10K OHM %1 0603 SMD"
"R3","RC0603FR-071KL","TopLayer","RES_0603","1988.189","2909.453","90","RES 1K OHM 1% 0603 SMD"
"R2","RC0603FR-0710KL","TopLayer","RES_0603","2078.744","2877.953","180","RES 10K OHM %1 0603 SMD"
"R1","5WD27","TopLayer","5WD27","944.882","4000.000","0","Resistor 5 Watt Cermet Wirewound Flameproof .27 Ohm 5% Axial Lead"
"Q5","SSM3K357R,LF","TopLayer","SOT23F","3464.567","761.811","90","Trans MOSFET N-CH Si 60V 0.65A Automotive 3-Pin SOT-23F T/R"
"Q4","MMBT3904-7-F","TopLayer","SOT23F","464.567","1442.921","90","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"Q3","MMBT3904-7-F","TopLayer","SOT23F","580.709","391.732","90","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"Q2","MMBT3904-7-F","TopLayer","SOT23F","2496.063","2984.252","0","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"Q1","MMBT3904-7-F","TopLayer","SOT23F","2082.677","2984.252","0","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"L1","78438335470","TopLayer","IND_1212","976.378","1374.016","0","Power Inductor, Aec-Q200, 47Uh, 0.39A Rohs Compliant: Yes"
"J8","64800611622","BottomLayer","64800611622","3070.866","348.425","270","WR-WTB Wire-to-Board Connectors 1.50 mm 6-Pin Connector"
"J7","64800611622","TopLayer","64800611622","2814.961","781.496","270","WR-WTB Wire-to-Board Connectors 1.50 mm 6-Pin Connector"
"J6","SMH-105-02-L-S","TopLayer","PINHEADER1X5_RA","2496.063","2452.756","90","PCB Receptacle, Board-to-Board, 2.54 mm, 1 Rows, 5 Contacts, Surface Mount, SMH"
"J5","PJ-037AH-SMT-TR","TopLayer","PJ-037AH-SMT-TR","1858.268","437.008","90","2.0 x 6.3 mm, 5.0 A, Horizontal, Surface Mount (SMT), Dc Power Jack Connector"
"J4","PJ-037AH-SMT-TR","TopLayer","PJ-037AH-SMT-TR","384.842","2155.512","0","2.0 x 6.3 mm, 5.0 A, Horizontal, Surface Mount (SMT), Dc Power Jack Connector"
"J3","TBP01R1-508-02BE","TopLayer","TBP01R1-508-02BE","2551.181","4035.433","180","2~24 Poles, Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector"
"J2","TBP01R1-508-02BE","TopLayer","TBP01R1-508-02BE","2027.559","4035.433","180","2~24 Poles, Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector"
"J1","TBP01R1-508-02BE","TopLayer","TBP01R1-508-02BE","157.480","3900.000","270","2~24 Poles, Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector"
"F1","3413.0216.22","TopLayer","FUSE_1206","789.370","2442.913","180","Fuse Chip Fast Acting 1A 32V SMD Solder Pad 1206 Glass T/R VDE/cULus"
"D7","LTST-C171GKT","BottomLayer","LED_GREEN_0805","3139.764","730.315","0","LED Low-Power Uni-Color Green 565nm 2.1V 2-Pin Chip LED T/R"
"D6","LTST-C171KRKT","TopLayer","LED_RED_0805","3478.347","952.756","0","LED Uni-Color Red 639nm 2-Pin Chip LED T/R"
"D5","1N4148WS","TopLayer","SOD323F","1574.803","1429.134","0","Diode Ultra Fast Recovery Rectifier 75V 0.15A 2-Pin SOD-323F T/R"
"D4","1N4148WS","TopLayer","SOD323F","2551.181","3090.551","180","Diode Ultra Fast Recovery Rectifier 75V 0.15A 2-Pin SOD-323F T/R"
"D3","1N4148WS","TopLayer","SOD323F","2649.606","444.882","270","Diode Ultra Fast Recovery Rectifier 75V 0.15A 2-Pin SOD-323F T/R"
"D2","1SMB5919BT3G","TopLayer","SMB_403A","755.905","1370.079","180","Diode Zener Single 5.6V 5% 550mW Automotive 2-Pin SMB T/R"
"D1","1N4148WS","TopLayer","SOD323F","2027.559","3090.551","0","Diode Ultra Fast Recovery Rectifier 75V 0.15A 2-Pin SOD-323F T/R"
"C47","CL21B105KBFNNNE","BottomLayer","CAP_0805","3354.331","458.661","90","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C46","CL21A475KAQNNNE","BottomLayer","CAP_0805","3271.653","458.661","90","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C45","CL21A475KAQNNNE","BottomLayer","CAP_0805","3188.976","458.661","90","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C44","C0603C104M5RACTU","BottomLayer","CAP_0603","3602.362","722.437","270","CAP CER 100 nF %20 0603 SMD"
"C43","C0603C104M5RACTU","BottomLayer","CAP_0603","3440.945","627.953","0","CAP CER 100 nF %20 0603 SMD"
"C42","C3216X5R1E336M160AC","BottomLayer","CAP_1206","3767.717","812.992","0","CAP CER 33 uF ± 20% 25 V 1206 SMD"
"C41","C0603C104M5RACTU","BottomLayer","CAP_0603","3574.803","147.642","90","CAP CER 100 nF %20 0603 SMD"
"C40","0603B103K160CT","BottomLayer","CAP_0603","3602.362","840.547","90","CAP CER 10nF 10% 16V 0603 SMD"
"C39","C0603C104M5RACTU","BottomLayer","CAP_0603","3141.732","946.850","90","CAP CER 100 nF %20 0603 SMD"
"C38","CL21B105KBFNNNE","BottomLayer","CAP_0805","3188.976","281.496","270","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C37","CL21A475KAQNNNE","BottomLayer","CAP_0805","3222.441","175.197","0","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C36","C3216X5R1E336M160AC","BottomLayer","CAP_1206","3728.347","940.945","270","CAP CER 33 uF ± 20% 25 V 1206 SMD"
"C35","0603B103K160CT","BottomLayer","CAP_0603","3539.370","958.665","270","CAP CER 10nF 10% 16V 0603 SMD"
"C34","CL21B104KBCNNNC","BottomLayer","CAP_0805","3299.213","1045.275","0","CAP CER 100 nF 10% 50 V 0805 SMD"
"C33","CL21B105KBFNNNE","BottomLayer","CAP_0805","3297.244","1124.016","180","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C32","CL21B104KBCNNNC","TopLayer","CAP_0805","2718.504","1232.480","180","CAP CER 100 nF 10% 50 V 0805 SMD"
"C31","CL21B105KBFNNNE","TopLayer","CAP_0805","2718.504","1318.898","180","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C30","CL21B104KBCNNNC","TopLayer","CAP_0805","2078.740","1775.591","0","CAP CER 100 nF 10% 50 V 0805 SMD"
"C29","CL21B104KBCNNNC","TopLayer","CAP_0805","2496.063","1608.268","90","CAP CER 100 nF 10% 50 V 0805 SMD"
"C28","CL21B104KBCNNNC","TopLayer","CAP_0805","2629.921","2011.811","180","CAP CER 100 nF 10% 50 V 0805 SMD"
"C27","CL21B104KBCNNNC","TopLayer","CAP_0805","2124.016","2181.102","180","CAP CER 100 nF 10% 50 V 0805 SMD"
"C26","CL21B105KBFNNNE","TopLayer","CAP_0805","1980.315","2346.457","270","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C25","CL21A475KAQNNNE","TopLayer","CAP_0805","1885.827","2346.457","270","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C24","ESH477M050AH4AA","TopLayer","CAP_RADIAL_R10_P5","1452.756","1015.748","225","Electrolytic capacitor, 470 µF, 50 V (DC), ±20 %, radial, pitch 5 mm, Ø 13 mm"
"C23","CL21B105KBFNNNE","TopLayer","CAP_0805","1966.535","1288.312","0","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C22","CL21B104KBCNNNC","TopLayer","CAP_0805","1966.457","1208.666","0","CAP CER 100 nF 10% 50 V 0805 SMD"
"C21","CL21B104KBCNNNC","TopLayer","CAP_0805","462.598","1637.795","90","CAP CER 100 nF 10% 50 V 0805 SMD"
"C20","CL21B104KBCNNNC","TopLayer","CAP_0805","1925.193","1698.819","180","CAP CER 100 nF 10% 50 V 0805 SMD"
"C19","CL10C200JB8NNNC","TopLayer","CAP_0603","1919.283","1785.433","0","CAP CER 20pF ±5% 0603 SMD"
"C18","CL21B104KBCNNNC","TopLayer","CAP_0805","401.575","407.480","180","CAP CER 100 nF 10% 50 V 0805 SMD"
"C17","CL21B105KBFNNNE","TopLayer","CAP_0805","401.575","336.614","180","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C16","CL21A475KAQNNNE","TopLayer","CAP_0805","401.575","265.748","180","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C15","CL10C200JB8NNNC","TopLayer","CAP_0603","1919.283","2108.268","0","CAP CER 20pF ±5% 0603 SMD"
"C14","CL21B105KBFNNNE","TopLayer","CAP_0805","2686.024","891.732","90","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C13","CL21A475KAQNNNE","TopLayer","CAP_0805","2607.284","891.732","90","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C12","CL21A475KAQNNNE","TopLayer","CAP_0805","2528.543","891.732","90","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C11","CL21A475KAQNNNE","TopLayer","CAP_0805","2687.008","578.740","180","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C10","CL21B105KBFNNNE","TopLayer","CAP_0805","1584.646","1578.740","180","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C9","CL21A475KAQNNNE","TopLayer","CAP_0805","1584.646","1657.480","180","Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]"
"C8","CL21B104KBCNNNC","TopLayer","CAP_0805","1326.772","1911.417","270","CAP CER 100 nF 10% 50 V 0805 SMD"
"C7","CL21B105KBFNNNE","TopLayer","CAP_0805","1248.031","1913.386","270","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"C6","EEV686M035A9HAA","TopLayer","CAP_EEVSeries","968.504","1874.016","180","Cap Aluminum Lytic 68uF 35V 20%( 6.3 X 7.7mm) SMD 0.34 Ohm 280mA 2000h 105C T/R"
"C5","ESH477M050AH4AA","TopLayer","CAP_RADIAL_R10_P5","255.905","3299.213","180","Electrolytic capacitor, 470 µF, 50 V (DC), ±20 %, radial, pitch 5 mm, Ø 13 mm"
"C4","ESH477M050AH4AA","TopLayer","CAP_RADIAL_R10_P5","255.905","2748.032","180","Electrolytic capacitor, 470 µF, 50 V (DC), ±20 %, radial, pitch 5 mm, Ø 13 mm"
"C3","0603B103K160CT","TopLayer","CAP_0603","968.508","1484.252","180","CAP CER 10nF 10% 16V 0603 SMD"
"C2","C0603C104M5RACTU","TopLayer","CAP_0603","720.472","1637.799","270","CAP CER 100 nF %20 0603 SMD"
"C1","CL21B105KBFNNNE","TopLayer","CAP_0805","657.480","1639.764","270","Multilayer Ceramic Capacitor, 1 uF, 50 V, 10%, X7R, 0805 [2012 Metric]"
"BZ1","CMI-9605IC-0580T","TopLayer","CMI-9605IC-0580T","222.441","1604.331","0","Audio Buzzer Magnetic 3VDC 7VDC 30mA 5VDC 85dB 2600Hz to 2800Hz Through Hole Pin Box"
"BR1","DB105S","TopLayer","DB105S","991.535","2214.567","90","Bridge Rectifier, DB-S, 1A, 600V, SMD Bridge"
